,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10
I06,-0.31871922,-0.016371198,-0.048145797,-0.404516799,-0.296763936,-0.341389659,-0.108467976,-0.118794827,-0.052801316,-0.106511893,0.581243985,0.617624998,0.468474064,0.628991998,0.605588519,0.56553934,0.354629762,0.272069464,0.61143348,0.497571245,0.807292496,0.7435532,-0.191129983,-0.37447892,0.563367234,1,0.207586425,0.562558439,0.792897308,0.05482116,0.560560851,0.319279041,0.193991954,0.593777229,0.587861048,0.372739588,0.312407949,0.598739058,0.67754809,0.70982014
I07,0.160567814,0.480679228,0.237509484,0.435679914,0.37096925,0.475863951,0.454479035,-0.032362383,0.042328942,-0.119310482,-0.198386767,-0.075210609,-0.264480474,-0.089845682,-0.192441534,0.060868063,0.063009201,0.540126636,-0.320828221,0.198171104,0.021990516,-0.004074292,0.675078829,0.560323828,0.597344096,0.207586425,1,0.467841603,0.360412902,0.862684147,0.137558486,0.038266426,0.168813293,-0.134213994,-0.306731479,0.201311976,0.279536386,0.286196236,0.06688355,-0.150582547
I08,-0.176009594,0.350092451,0.251101114,-0.057631641,-0.074298454,0.088777854,0.334385879,0.126611287,0.107870817,0.209114392,0.028057709,0.263557334,0.20992486,0.111575755,0.066216123,0.246355954,-0.02209404,0.25912629,0.026206667,0.091944025,0.389964491,0.43422021,-0.161942699,-0.113376887,0.842740317,0.562558439,0.467841603,1,0.564551136,0.564094061,0.107166308,-0.07280894,-0.014932799,0.112172722,0.121227885,0.285670047,0.074813581,0.391918441,0.374314946,0.145638096
I09,-0.498610052,-0.13635759,-0.16969552,-0.451391026,-0.311744328,-0.455843741,-0.239747658,-0.309751792,-0.266700604,-0.37597789,0.674221524,0.797443078,0.239436444,0.693820386,0.686377593,0.714578133,0.582971886,0.302072097,0.500069806,0.687480526,0.741328908,0.738102879,0.011007841,-0.346448128,0.629606772,0.792897308,0.360412902,0.564551136,1,0.164321142,0.624406976,0.522952424,0.463431686,0.693340737,0.59950964,0.5489443,0.588659179,0.745745727,0.702036696,0.634061901
I10,0.365665755,0.714966795,0.444125716,0.620445322,0.531220793,0.637279034,0.646661619,0.260017135,0.282729752,0.200919241,-0.413991313,-0.286424613,-0.103801344,-0.367814561,-0.441464793,-0.23125273,-0.24581031,0.354335536,-0.547333984,-0.130236231,-0.171442955,-0.164318526,0.518510956,0.65541906,0.528195924,0.05482116,0.862684147,0.564094061,0.164321142,1,-0.147789564,-0.26992796,-0.185700984,-0.400511187,-0.532198782,-0.079528783,-0.0581542,0.010587202,-0.173861733,-0.406036831
L01,-0.567187903,-0.468527261,-0.6074042,-0.50854948,-0.537355031,-0.500383657,-0.524030135,-0.671559588,-0.640135452,-0.696467429,0.699247023,0.705934148,-0.086660316,0.761335208,0.700035275,0.581109077,0.747435104,0.163027896,0.741522089,0.812702663,0.70853477,0.697371699,0.143887133,-0.387492204,0.303789682,0.560560851,0.137558486,0.107166308,0.624406976,-0.147789564,1,0.767292952,0.690702283,0.738111534,0.594550958,0.504219254,0.797328518,0.834596716,0.695788267,0.788461336
L02,-0.619569061,-0.568860627,-0.607410346,-0.510168454,-0.480499007,-0.620868391,-0.630858624,-0.700332153,-0.659738114,-0.751623766,0.754880922,0.727077102,-0.170718094,0.717315976,0.699802908,0.604501382,0.81468235,0.069023162,0.637356727,0.825541031,0.61042295,0.630156657,0.204653306,-0.368771231,0.147011447,0.319279041,0.038266426,-0.07280894,0.522952424,-0.26992796,0.767292952,1,0.759359464,0.75094651,0.603423727,0.514080755,0.838881028,0.747486062,0.666177156,0.651752178
L03,-0.722088156,-0.712475392,-0.756439949,-0.566528229,-0.637659866,-0.480597703,-0.580834593,-0.83688249,-0.844116829,-0.84228968,0.47413067,0.580489159,-0.554383527,0.556582099,0.549319764,0.654186164,0.754354391,0.27534501,0.477833698,0.75908899,0.434575383,0.448669619,0.257214548,-0.391053938,0.323760564,0.193991954,0.168813293,-0.014932799,0.463431686,-0.185700984,0.690702283,0.759359464,1,0.6192892,0.572728254,0.773627806,0.904790355,0.754506719,0.564779978,0.510088936
L04,-0.69950335,-0.535583771,-0.444662168,-0.720857782,-0.568420007,-0.772871598,-0.613615784,-0.534466545,-0.48624697,-0.534746966,0.850869357,0.853042692,0.156559871,0.830174163,0.903123132,0.736338613,0.76768756,-0.010135987,0.785866842,0.790278878,0.781498345,0.784778183,-0.170458434,-0.637226147,0.2367052,0.593777229,-0.134213994,0.112172722,0.693340737,-0.400511187,0.738111534,0.75094651,0.6192892,1,0.869293816,0.496868213,0.68131415,0.722689935,0.764773484,0.840561892
L05,-0.740172365,-0.636817574,-0.460945476,-0.845080848,-0.712398952,-0.810165549,-0.626530759,-0.470843084,-0.457867092,-0.409611804,0.74337482,0.770606047,0.148461376,0.736392146,0.843614915,0.751861296,0.602002219,0.009810102,0.774672711,0.626888097,0.743816128,0.731171556,-0.39037502,-0.797317509,0.235418532,0.587861048,-0.306731479,0.121227885,0.59950964,-0.532198782,0.594550958,0.603423727,0.572728254,0.869293816,1,0.55387289,0.531090085,0.614815321,0.717397285,0.798044024
L06,-0.711493144,-0.600410767,-0.477218099,-0.647714686,-0.630376356,-0.481106522,-0.412591042,-0.568652396,-0.595259693,-0.5587595,0.369667607,0.529380801,-0.352193008,0.475991231,0.472875717,0.723682243,0.575502677,0.535952558,0.449856314,0.498862522,0.41961299,0.421234307,-0.033319955,-0.509749957,0.445157113,0.372739588,0.201311976,0.285670047,0.5489443,-0.079528783,0.504219254,0.514080755,0.773627806,0.496868213,0.55387289,1,0.659434033,0.676889331,0.566910065,0.448653077
L07,-0.675352265,-0.535924581,-0.668900436,-0.486507036,-0.526454077,-0.481089814,-0.572923022,-0.824361799,-0.802425845,-0.865344669,0.612895433,0.681332891,-0.413300417,0.66116648,0.636279586,0.651762738,0.82554458,0.227484978,0.519442384,0.882220523,0.579933779,0.601680325,0.3241622,-0.321757951,0.400146599,0.312407949,0.279536386,0.074813581,0.588659179,-0.0581542,0.797328518,0.838881028,0.904790355,0.68131415,0.531090085,0.659434033,1,0.866643315,0.660864549,0.602484266
L08,-0.730204815,-0.413333858,-0.547916601,-0.578957605,-0.630932329,-0.530955997,-0.482844456,-0.726012622,-0.700592951,-0.706154519,0.659161863,0.779099319,-0.139422913,0.786315207,0.703374276,0.693359892,0.769368307,0.252397552,0.678564879,0.814034914,0.80211745,0.808225573,0.05391008,-0.491467797,0.590674182,0.598739058,0.286196236,0.391918441,0.745745727,0.010587202,0.834596716,0.747486062,0.754506719,0.722689935,0.614815321,0.676889331,0.866643315,1,0.839487106,0.778947925
L09,-0.665520072,-0.36850463,-0.323049187,-0.606770608,-0.561088443,-0.625582595,-0.40544647,-0.460081212,-0.433421377,-0.4207847,0.754394409,0.811922304,0.206902334,0.870536894,0.805154988,0.703160604,0.710444213,0.072687624,0.790207476,0.701856285,0.900486925,0.903580165,-0.205423929,-0.58788744,0.482780547,0.67754809,0.06688355,0.374314946,0.702036696,-0.173861733,0.695788267,0.666177156,0.564779978,0.764773484,0.717397285,0.566910065,0.660864549,0.839487106,1,0.849750275
L10,-0.656472063,-0.474853802,-0.44898788,-0.715862536,-0.652229705,-0.713489964,-0.570651349,-0.513231721,-0.466594983,-0.472530201,0.818995481,0.795876775,0.27793107,0.910149521,0.886235108,0.647202552,0.705268988,0.02839067,0.939089762,0.702540806,0.907124448,0.871352745,-0.300257411,-0.688512797,0.250176139,0.70982014,-0.150582547,0.145638096,0.634061901,-0.406036831,0.788461336,0.651752178,0.510088936,0.840561892,0.798044024,0.448653077,0.602484266,0.778947925,0.849750275,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
