D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,P_alg,P_cor,P_dim,P_win,S_CR,S_MPQA,S_MR,S_MRPC,S_SICKEntailment,S_SICKRelatedness,S_SST2,S_SST5,S_STS12,S_STS13,S_STS14,S_STS15,S_STS16,S_STSBenchmark,S_SUBJ,S_TREC,V_chunk,V_ner,V_nli,V_pos,V_questions,V_sentiment
0.0013863216266173752,0.16166666666666665,0.09375,0.04708333333333333,0.03057199211045365,0.12700661000944288,0.01756007393715342,0.018229166666666668,0.053385416666666664,0.065,0.25166666666666665,0.075,0.004774305555555556,0.057916666666666665,0.1875,0.005,0.004166666666666667,0.002916666666666667,0.08416666666666667,0.34479638009049773,0.5908333333333333,0.38083333333333336,0.5179166666666667,0.43125,0.8316666666666667,0.555,0.5466666666666666,0.50375,0.32875,0.5720833333333334,0.03166666666666667,0.04,0.10541666666666667,0.02,0.018282312925170068,0.03231292517006803,0.0977891156462585,0.15291666666666667,0.14668367346938777,0.17916666666666667,cbow,nyt,100,1,75.55,84.91,73.02,80.82,73.7,0.7076125949622686,77.16,39.73,0.37472526815357254,0.3100757623457011,0.38446050042579083,0.43435623634464327,0.32315907320040116,0.4574688595870935,88.37,69.0,0.9283993765644926,0.9712862072976851,0.44810690423162586,0.9588482147739078,0.8406593406593407,0.713302752293578
0,0.13291666666666666,0.12583333333333332,0.012083333333333333,0.03944773175542406,0.0679886685552408,0.01155268022181146,0.025607638888888888,0.08203125,0.08458333333333333,0.46958333333333335,0.17583333333333334,0.004774305555555556,0.0625,0.14625,0.01,0.00375,0.005,0.034166666666666665,0.3782805429864253,0.52375,0.3725,0.35875,0.22958333333333333,0.8833333333333333,0.6075,0.5604166666666667,0.6020833333333333,0.43125,0.5045833333333334,0.01375,0.0375,0.1175,0.02625,0.01913265306122449,0.03741496598639456,0.08928571428571429,0.13,0.13392857142857142,0.13625,cbow,nyt,100,11,75.12,85.82,72.55,79.76,74.65,0.7090858976853128,75.84,39.19,0.4058018147736078,0.40010317701438086,0.5140466449164497,0.5445170182852973,0.4406187113614126,0.5323185641116862,89.3,72.4,0.9100269210787324,0.9619217495831556,0.4182628062360802,0.9523415714363825,0.510989010989011,0.6605504587155964
0.0009242144177449168,0.13,0.13291666666666666,0.012083333333333333,0.04240631163708087,0.06704438149197356,0.013863216266173753,0.027777777777777776,0.08116319444444445,0.08625,0.4841666666666667,0.19041666666666668,0.00390625,0.050833333333333335,0.15125,0.0125,0.002916666666666667,0.00375,0.03666666666666667,0.38552036199095024,0.5120833333333333,0.37083333333333335,0.36125,0.21041666666666667,0.87625,0.5991666666666666,0.5554166666666667,0.5975,0.42875,0.48375,0.01875,0.035416666666666666,0.12333333333333334,0.027083333333333334,0.0233843537414966,0.036139455782312924,0.08928571428571429,0.13791666666666666,0.12457482993197279,0.13041666666666665,cbow,nyt,100,13,75.2,85.88,72.4,79.84,74.91,0.7146978863258198,75.34,38.73,0.4090295864292434,0.40302475968718215,0.5172631811719871,0.5477012439267634,0.4416491914431674,0.4820096747503832,89.52,71.4,0.9068625135786142,0.9616503160262128,0.44988864142538976,0.9522117119580076,0.521978021978022,0.6857798165137615
0.0004621072088724584,0.13708333333333333,0.1375,0.009583333333333333,0.03994082840236687,0.061378659112370164,0.012939001848428836,0.028645833333333332,0.0837673611111111,0.08375,0.5104166666666666,0.19666666666666666,0.006510416666666667,0.044583333333333336,0.14666666666666667,0.010416666666666666,0.002916666666666667,0.0033333333333333335,0.035,0.3927601809954751,0.5145833333333333,0.37041666666666667,0.35541666666666666,0.215,0.8791666666666667,0.60125,0.5520833333333334,0.5920833333333333,0.4266666666666667,0.48625,0.017083333333333332,0.037083333333333336,0.12041666666666667,0.025416666666666667,0.018282312925170068,0.036139455782312924,0.09566326530612244,0.13,0.12755102040816327,0.135,cbow,nyt,100,15,75.28,85.89,72.5,80.37,75.4,0.7177586471045736,75.29,40.0,0.4111933240798984,0.4052233325476751,0.5207953097389941,0.5497408847906143,0.4421568147507259,0.5444932018534288,89.35,71.6,0.9057289944740944,0.9607972391329637,0.42717149220489975,0.9516922740445076,0.510989010989011,0.6399082568807339
0,0.135,0.13625,0.007916666666666667,0.03895463510848126,0.060906515580736544,0.012939001848428836,0.02734375,0.0837673611111111,0.08416666666666667,0.5141666666666667,0.1875,0.00390625,0.05125,0.14083333333333334,0.009583333333333333,0.004166666666666667,0.005833333333333334,0.030833333333333334,0.3904977375565611,0.5129166666666667,0.3695833333333333,0.36833333333333335,0.21375,0.88125,0.5983333333333334,0.5483333333333333,0.5975,0.42916666666666664,0.47541666666666665,0.015416666666666667,0.037083333333333336,0.11541666666666667,0.02625,0.022108843537414966,0.03826530612244898,0.09438775510204081,0.12875,0.11819727891156463,0.13,cbow,nyt,100,17,74.83,85.89,72.68,80.86,75.06,0.7133331977029379,75.84,39.14,0.4127834014707745,0.40838957772212253,0.5224185570626668,0.551951104718122,0.44669143397233046,0.5411908572868713,89.7,71.0,0.9048316251830161,0.9606033580208616,0.42360801781737195,0.9511249931652906,0.49633699633699635,0.6215596330275229
0.0013863216266173752,0.13625,0.14625,0.008333333333333333,0.041913214990138066,0.056185080264400375,0.00878003696857671,0.02734375,0.08506944444444445,0.0875,0.515,0.18833333333333332,0.003472222222222222,0.04541666666666667,0.13458333333333333,0.010833333333333334,0.0033333333333333335,0.007083333333333333,0.020833333333333332,0.38416289592760183,0.5133333333333333,0.3770833333333333,0.32875,0.22666666666666666,0.8791666666666667,0.5916666666666667,0.5495833333333333,0.5979166666666667,0.43375,0.47541666666666665,0.0125,0.0375,0.11666666666666667,0.0275,0.0233843537414966,0.039540816326530615,0.09056122448979592,0.13041666666666665,0.11819727891156463,0.12833333333333333,cbow,nyt,100,19,75.18,85.91,72.88,79.45,75.48,0.7066045257282552,75.89,39.28,0.4173809682189648,0.4109043753339788,0.5240310629595016,0.5553020605872467,0.45028833042508615,0.5042663875933694,89.31,70.4,0.9036981060784962,0.9599053860172942,0.4405345211581292,0.9498810760566461,0.5054945054945055,0.5837155963302753
0,0.165,0.10791666666666666,0.01625,0.03007889546351085,0.10103871576959396,0.018022181146025877,0.022135416666666668,0.06163194444444445,0.07,0.31916666666666665,0.12375,0.005208333333333333,0.07291666666666667,0.18583333333333332,0.004583333333333333,0.0020833333333333333,0.002916666666666667,0.04416666666666667,0.38733031674208146,0.5454166666666667,0.36833333333333335,0.3879166666666667,0.26625,0.8925,0.6266666666666667,0.5754166666666667,0.5733333333333334,0.40708333333333335,0.5466666666666666,0.013333333333333334,0.027916666666666666,0.10875,0.023333333333333334,0.021258503401360544,0.0352891156462585,0.08673469387755102,0.13375,0.1441326530612245,0.15458333333333332,cbow,nyt,100,3,75.42,85.2,72.54,80.51,74.33,0.7076926360345464,76.06,38.91,0.38378579669675894,0.3560040817810628,0.46746313550733715,0.5020524870125112,0.4010464268416138,0.47301303308586906,89.05,72.2,0.9204647428328532,0.9666718368296561,0.43028953229398664,0.9566611077696976,0.6923076923076923,0.7236238532110092
0.0004621072088724584,0.14333333333333334,0.10916666666666666,0.015833333333333335,0.027613412228796843,0.09159584513692162,0.01756007393715342,0.023003472222222224,0.06901041666666667,0.08041666666666666,0.37916666666666665,0.15541666666666668,0.0030381944444444445,0.07791666666666666,0.17291666666666666,0.00625,0.0016666666666666668,0.0020833333333333333,0.027083333333333334,0.38416289592760183,0.5379166666666667,0.3725,0.3804166666666667,0.23791666666666667,0.8804166666666666,0.62,0.5708333333333333,0.5804166666666667,0.4191666666666667,0.5408333333333334,0.014166666666666666,0.032916666666666664,0.11625,0.024166666666666666,0.025085034013605442,0.0352891156462585,0.0939625850340136,0.12625,0.13690476190476192,0.14375,cbow,nyt,100,5,74.91,85.65,72.67,81.19,73.61,0.6940960876600607,75.18,38.64,0.3880547536196351,0.3798587187266628,0.49321479225713066,0.5241269733704929,0.42572351664994057,0.44814496175069746,89.29,72.0,0.9139470079818637,0.964403427818062,0.43697104677060133,0.9554787030455465,0.5439560439560439,0.7201834862385321
0,0.14041666666666666,0.11541666666666667,0.012916666666666667,0.033037475345167655,0.08451369216241737,0.01155268022181146,0.024305555555555556,0.0759548611111111,0.0825,0.405,0.17208333333333334,0.004340277777777778,0.07416666666666667,0.14833333333333334,0.010833333333333334,0.0025,0.00375,0.03125,0.3719457013574661,0.5283333333333333,0.36625,0.3879166666666667,0.23375,0.8795833333333334,0.6070833333333333,0.5679166666666666,0.5854166666666667,0.4275,0.5325,0.010833333333333334,0.0375,0.11833333333333333,0.030416666666666668,0.021258503401360544,0.03443877551020408,0.09141156462585034,0.12583333333333332,0.13350340136054423,0.1425,cbow,nyt,100,7,75.23,85.88,72.61,80.69,75.1,0.7096217053430469,75.84,38.87,0.3945572631005231,0.391381880139506,0.5025299297857533,0.5337005406113955,0.43171683784438153,0.4644084344389202,89.3,72.8,0.9130496386907855,0.9637054558144945,0.43697104677060133,0.9543304718683362,0.5567765567765568,0.6479357798165137
0.0004621072088724584,0.13791666666666666,0.13416666666666666,0.011666666666666667,0.03205128205128205,0.0764872521246459,0.014787430683918669,0.026475694444444444,0.07725694444444445,0.07916666666666666,0.43833333333333335,0.17458333333333334,0.005208333333333333,0.0625,0.14666666666666667,0.009166666666666667,0.0025,0.0033333333333333335,0.025833333333333333,0.3778280542986425,0.5291666666666667,0.37416666666666665,0.37916666666666665,0.235,0.8820833333333333,0.61125,0.56125,0.59375,0.42583333333333334,0.5116666666666667,0.012916666666666667,0.03375,0.11583333333333333,0.0275,0.02040816326530612,0.03571428571428571,0.09226190476190477,0.13291666666666666,0.1377551020408163,0.14166666666666666,cbow,nyt,100,9,75.12,85.76,72.57,80.19,75.26,0.7177729026988837,75.95,38.55,0.4014133559052965,0.3969383492994587,0.5101081431215791,0.5399927232141939,0.4368480550275943,0.506676167969293,89.27,71.8,0.910121381004109,0.9632207530342394,0.41692650334075726,0.9540297446552573,0.5018315018315018,0.6525229357798165
